1,"| ai

30 Sp NS

eT Sy]
Tn anal ay
Car",0
2,"+

PANDUKESHWAR
HIGHT - 1950M",0
3,"+

PANDUKESHWAR
HIGHT - 1950M",0
4,"ANISATION

 

(c) www.cloud9miles.com",0
5,,0
6,"Bit >
at

‘ =<
a ae %

Pap 3s ss :
REA SUPE BA BSS Re Te +o Ss ree
Yo 5te ON SRS ai
es 23 . AQP OS SS a
ss Sas) = Se eee

: ~
7% ¥
eS owRS ss

te

roman wer hihi

Mt Kosciuszko (2,228 metres)

Early visitors
It is highly unlikely that Strzelecki was the first

Below is the text of the sign which was placed here
person to climb Mt Kosciuszko.

in 1940 to celebrate the centenar y of the first

recorded ascent of Mt Kosciuszko.

From the valley of the Murr ay River the Polish
explorer Paul Edmund Serzelecki ascended thes«
Australian Alps on | 5th Februar y 1840

A ‘pinnacle, rocky and naked, predominant over
several others’ was chosen-by Strzelecki for a point
of trigonometrical sur vey. The particular
configuration of this eminence’, he recorded
‘Struck me so forcibly by the similarity it bears to a
tumulus elevated in Krakow over the tomb of the
Patriot Kosciusko, that although in a foreign
country, on foreign ground, but amongst a free
people, who appreciate freedom and its voraries, |
could not fFefrain from giving it the name of

Mount Kosciusko

The Aboriginal people of the Monaro anji groups
from the southern tablelands, south coal tand
northern Victoria visited these higher peaks for
thousands of years to feast on the bogong moths
which gather here in summer and to conduct trade
and perform cultural and spiritual ceremonies
Stockmen began visiting the mountains from the
1830s in search of summer Pasture and itis
probable that some of them would have climbed

the mountain.

Change of name
In 1997 the Geographical Names Board of NSW

agreed to a proposal that rhe spelling be changed to
‘Kosciuszko’, the correct spelling of the name of the

famous Polish freedom fighter.

The board accepted that Strzelecki spelt the name

This commemorative plaque was Originally unveiled
by the Consul General of the Republic of Poland
for Australia, New Zealand and Western Samoa
Ladislas Adam de Noskowski Esq;on the [7th

February 1940.

with a ‘z",0
7,,0
8,"‘Stop for
Tay leo)

Youlim prosesty tozesed on gh opin spade
Cnr mr ie talons
Ce Crier eoennrenl
Pt ti erate
a Ceres rans enna
os

etidbetan Dat eee en
eee ee Prt
Shak ue a eT Ts
irate haber. Pern eres
Wikied te eae tn een
buinpomenianuaka atin
Mitieredekisie aie re |

S iemanuneanede odode en ins
bib otra clet cacti et
ets a seaman yey

Minddisieeb carbine akin eee)
beside hore a reid
Mielbedet cae ney ror ran
bokeh an Sat ae
Liliptieldalne etc Preece tt tt mn
Doped vier T
nn einer Ts

The Sache w6 also the turn-ol to the Matentc and
Hamline beds nny iar
coder Te ri Mein mi ot

bP eee) nee es

Meebradiiroromale ie fey Nears
arrestee teed rehearse",0
9,,0
10,"HIGHEST PEAK IN TAMILNADU/EASTERN GHATS
| DODDABETTA (BIG MOUNTAIN) IS THE HIGHEST PEAK OF SOUTH INDIA. |

‘IT LIES AT THE JUNCTION OF WESTERN AND EASTERN GHATS.
HEIGHT OF THE PEAK 8640 Ft - 2660 Mts.

RAIN FALL 425 Cms- YEAR °

TEMPERATURE: Max. 19'c Min. Oc.
SEASON APRIL to JUNE & SEPTEMBER to OCTOBER

ANIMAL BISON, PANTHER, HARE, WILD BOAR, BARKING DEER.
TS LIKE, GERANIUM, EUCALYPTUS,

PRANTS ‘1 MEDICINAL PLA
CINERARIAMARTIMA,TULASI,CITRIODORA.THYMES E

\)",0
